server_time,esp_millis,ecg,resp
1759864377.6751106,1396167.0,-3.0,-2.0
1759864377.6983755,1396187.0,-4.0,-2.0
1759864377.7153904,1396207.0,-4.0,-2.0
1759864377.7374585,1396227.0,-3.0,-2.0
1759864377.7569036,1396247.0,-3.0,-2.0
1759864377.7756739,1396267.0,-4.0,-2.0
1759864377.795366,1396287.0,-3.0,-2.0
1759864377.8192008,1396307.0,-3.0,-2.0
1759864377.8350592,1396327.0,-3.0,-2.0
1759864377.8568988,1396347.0,-4.0,-2.0
1759864377.876587,1396367.0,-4.0,-2.0
1759864377.9143364,1396387.0,-3.0,-2.0
1759864377.9199743,1396407.0,-3.0,-2.0
1759864377.936039,1396427.0,-2.0,-2.0
1759864377.9550843,1396447.0,-2.0,-2.0
1759864377.9814227,1396467.0,-2.0,-2.0
1759864377.9952073,1396487.0,-3.0,-2.0
1759864378.0156858,1396507.0,-3.0,-2.0
1759864378.0371487,1396527.0,-2.0,-2.0
1759864378.0554848,1396547.0,-1.0,-2.0
1759864378.0751278,1396567.0,-2.0,-2.0
1759864378.096787,1396587.0,-2.0,-2.0
1759864378.1200502,1396607.0,-2.0,-2.0
1759864378.1371622,1396627.0,-2.0,-2.0
1759864378.1573896,1396647.0,-2.0,-2.0
1759864378.1758294,1396667.0,-1.0,-2.0
1759864378.195093,1396687.0,-2.0,-2.0
1759864378.2169044,1396707.0,-2.0,-2.0
1759864378.236541,1396727.0,-2.0,-2.0
1759864378.2553856,1396747.0,-1.0,-2.0
1759864378.2755895,1396767.0,-1.0,-2.0
1759864378.2954752,1396787.0,-1.0,-2.0
1759864378.3194916,1396807.0,-2.0,-2.0
1759864378.3400874,1396827.0,-1.0,-2.0
1759864378.3570814,1396847.0,-1.0,-2.0
1759864378.3760967,1396867.0,-2.0,-2.0
1759864378.4029117,1396887.0,-1.0,-2.0
1759864378.4159927,1396907.0,-1.0,-2.0
1759864378.4354885,1396927.0,-2.0,-2.0
1759864378.4554698,1396947.0,-2.0,-2.0
1759864378.4768198,1396967.0,-2.0,-2.0
1759864378.4987361,1396987.0,-1.0,-2.0
1759864378.5181854,1397007.0,-1.0,-2.0
1759864378.535722,1397027.0,-1.0,-2.0
1759864378.5613241,1397047.0,-1.0,-2.0
1759864378.5805986,1397067.0,-1.0,-2.0
1759864378.5951524,1397087.0,-1.0,-2.0
1759864378.6164527,1397107.0,-1.0,-2.0
1759864378.635359,1397127.0,-2.0,-2.0
1759864378.656149,1397147.0,-1.0,-2.0
1759864378.6755564,1397167.0,0.0,-2.0
1759864378.7036283,1397187.0,-1.0,-2.0
1759864378.7152438,1397207.0,-2.0,-2.0
1759864378.735764,1397227.0,-1.0,-2.0
1759864378.755174,1397247.0,0.0,-2.0
